date,AAPL,ABBV,ABNB,ACN,ADBE,AMD,AMGN,AMZN,ARM,AVGO,AXP,BA,BAC,CAT,COIN,COST,CRM,CRWD,CSCO,CVX,DDOG,DIS,DOW,GOOG,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,LCID,LLY,MA,MCD,META,MMM,MRK,MSFT,NET,NFLX,NKE,NVDA,ORCL,PANW,PEP,PG,PLTR,PYPL,QCOM,RIVN,SHOP,SNOW,TMO,TRV,TSLA,TXN,UBER,UNH,V,VZ,WMT,XOM,ZS,agent
2025-06-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,2,0,0,0,0,0,11,0,0,-34,0,0,734,-67,0,0,5,1,0,0,0,0,0,0,0,-1,0,0,0,2,4,0,1,0,0,0,-1,-1,1,0,0,0,-10,1,0,2,0,0,0,RuleBased (RegimeAdaptive)
2025-06-25,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,-1,0,0,0,0,0,-11,0,0,0,0,0,0,0,0,1,-31,0,0,0,0,1,-3,1,0,6,0,0,0,-1,-2,-78,1,0,0,0,1,1,0,-1,0,0,1,-1,0,1,0,0,0,RuleBased (RegimeAdaptive)
2025-06-26,0,0,0,0,0,0,0,0,0,0,23,-1,0,0,0,0,1,0,0,0,0,-1,5,0,0,0,0,1,0,0,0,1,45,0,0,1,0,0,153,0,0,-2,0,0,0,1,0,-1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,3,0,1,RuleBased (RegimeAdaptive)
2025-06-27,0,0,0,0,0,0,0,0,0,0,-1,-2,0,0,0,0,1,0,0,0,0,0,-3,0,0,1,-1,0,0,-18,0,-1,-70,0,0,-1,0,0,0,0,0,0,0,0,0,0,6,1,-4,0,0,586,0,1,0,0,0,0,-1,0,0,0,-1,0,0,RuleBased (RegimeAdaptive)
2025-06-30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,-1,0,0,0,0,0,-8,0,0,0,0,0,0,0,0,0,-20,12,0,0,0,0,0,0,0,0,0,0,36,0,2,-1,-1,0,0,15,0,0,0,-28,0,0,0,1,0,-4,0,0,1,RuleBased (RegimeAdaptive)
2025-07-01,33,0,0,0,0,0,0,0,0,0,3,7,207,0,0,0,40,1,19,0,0,4,308,0,2,33,1,1,0,85,4,2,886,0,0,0,1,3,0,0,5,-2,0,0,2,1,97,79,1,0,0,12,17,5,22,0,32,0,9,29,0,1,-48,0,3,RuleBased (RegimeAdaptive)
2025-07-02,0,0,0,0,0,0,0,0,0,0,1,7,40,0,0,1,0,0,12,0,0,3,0,0,2,0,6,6,0,0,10,11,0,0,2,5,1,10,0,1,8,0,0,0,1,4,0,0,9,0,0,7,2,0,0,6,1,0,0,0,4,29,3,0,6,RuleBased (RegimeAdaptive)
2025-07-03,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0,-9,0,0,1,0,0,-1,0,0,0,-1,-1,0,0,1,0,0,-2,1,0,0,0,0,0,0,0,0,1,0,0,0,RuleBased (RegimeAdaptive)
2025-07-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,1,1,0,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,4,0,0,0,0,0,0,0,0,0,-1,1,0,1,RuleBased (RegimeAdaptive)
2025-07-08,0,0,0,0,0,0,0,50,0,0,10,0,0,0,2,1,0,0,62,0,0,13,0,0,0,0,13,6,0,0,0,4,0,0,1,0,4,11,0,6,0,0,0,0,5,0,0,0,0,0,0,-4,0,0,0,3,0,0,0,0,-12,3,25,0,0,RuleBased (RegimeAdaptive)
2025-07-09,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,3,1,0,0,0,1,0,0,1,0,2,7,0,1,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,RuleBased (RegimeAdaptive)
2025-07-10,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,8,0,0,0,0,0,0,1,0,0,0,0,0,0,-2,0,0,0,0,-13,63,0,0,1,4,1,0,0,RuleBased (RegimeAdaptive)
2025-07-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,3,0,0,0,0,0,0,-1,13,0,0,0,0,0,4,0,0,0,1,0,1,0,0,-1,2,3,0,0,RuleBased (RegimeAdaptive)
2025-07-14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,-2,0,0,RuleBased (RegimeAdaptive)
2025-07-15,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,5,5,0,0,RuleBased (RegimeAdaptive)
2025-07-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,-1,0,0,0,-1,1,4,0,0,RuleBased (RegimeAdaptive)
2025-07-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-6,0,0,0,-2,1,0,0,0,1,9,0,0,0,RuleBased (RegimeAdaptive)
2025-07-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9,0,0,0,3,-1,0,0,0,2,1,6,0,0,RuleBased (RegimeAdaptive)
2025-07-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-23,-1,0,0,RuleBased (RegimeAdaptive)
2025-07-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,0,-2,1,0,0,RuleBased (RegimeAdaptive)
2025-07-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,-12,0,0,0,5,0,0,0,RuleBased (RegimeAdaptive)
2025-07-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-6,-1,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,-1,0,0,RuleBased (RegimeAdaptive)
2025-07-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,-1,0,0,0,0,3,0,0,0,RuleBased (RegimeAdaptive)
2025-07-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,1,0,0,RuleBased (RegimeAdaptive)
2025-07-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8,0,0,0,-1,0,0,0,0,0,2,0,0,0,RuleBased (RegimeAdaptive)
2025-07-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,-33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,2,1,0,0,RuleBased (RegimeAdaptive)
